"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"A230107N01Rik",0.106762745226053,-0.0490513670660932,0,0.024,1
"Spata13",0.106762745226053,-0.079036010033179,0,0.024,1
"Gm39556",0.106762745226053,-0.100613639706282,0,0.024,1
"Parvb",0.106762745226053,-0.0885355502969203,0,0.024,1
"Csrnp2",0.106762745226053,-0.0862245852413888,0,0.024,1
"Gm15879",0.106762745226053,-0.0623564798413627,0,0.024,1
"Urb1",0.106762745226053,-0.0611141616688292,0,0.024,1
"Gm5165",0.106762745226053,-0.0843449291471778,0,0.024,1
"Tedc2",0.106762745226053,-0.143605536893366,0,0.024,1
"E230001N04Rik",0.106762745226053,-0.0794291872400608,0,0.024,1
"Crisp3",0.106762745226053,-0.0868604292918152,0,0.024,1
"Slc29a1",0.106762745226053,-0.0648789998573437,0,0.024,1
"Ehd3",0.106762745226053,-0.0998981818079643,0,0.024,1
"Nlrc4",0.106762745226053,-0.100216390477928,0,0.024,1
"Klhl14",0.106762745226053,-0.0874782225158664,0,0.024,1
"A930012L18Rik",0.106762745226053,-0.13643072654646,0,0.024,1
"Prdm6",0.106762745226053,-0.129573443862272,0,0.024,1
"Gm6133",0.106762745226053,-0.0905790990455639,0,0.024,1
"Pim2",0.106762745226053,-0.0710152932841008,0,0.024,1
"Usp11",0.106762745226053,-0.0532728175249994,0,0.024,1
"Nkrf",0.106762745226053,-0.0684943845399947,0,0.024,1
"Xlr4b",0.106762745226053,-0.114057116680014,0,0.024,1
"Mtcp1",0.106762745226053,-0.0514651830860099,0,0.024,1
"Zcchc18",0.106762745226053,-0.0469266037397605,0,0.024,1
"Slc50a1",0.106850112038556,-0.30539630631007,0.128,0.198,1
"Tsen15",0.106913371677053,-0.212655218281655,0.055,0.111,1
"Slf2",0.106913371677053,-0.0353405156018394,0.119,0.056,1
"Hirip3",0.106935800415045,0.122575448435676,0.092,0.04,1
"Ssh2",0.107029678678892,-0.259341813857861,0.339,0.397,1
"Polr2j",0.107088062284745,0.092476423297589,0.321,0.206,1
"Tspan31",0.107177446218852,0.0149671958787623,0.266,0.159,1
"Zc3h7a",0.107200695025617,-0.424567936571993,0.248,0.31,1
"Slc16a2",0.107519615807771,0.138213134290637,0.147,0.079,1
"Mbip",0.107570540004309,0.215414483863563,0.358,0.254,1
"Uimc1",0.107633480233692,-0.212574043664721,0.101,0.167,1
"Fbxl17",0.107669766068605,0.297803804374495,0.101,0.048,1
"Vps41",0.107690835349004,0.13929417478418,0.202,0.119,1
"2610528J11Rik",0.107884424343494,-0.00197970578866936,0.055,0.016,1
"Ddit4",0.107884424343494,-0.078488777653658,0.055,0.016,1
"Inpp1",0.107927425578129,0.183849585715077,0.092,0.04,1
"Mgat5",0.107927425578129,0.231335605402247,0.092,0.04,1
"Mettl6",0.107927425578129,0.22410982212819,0.092,0.04,1
"Hba-a2",0.108361369617752,-0.611360191015037,0.156,0.23,1
"Slc31a1",0.108372354961536,0.227937951477551,0.138,0.071,1
"Smad3",0.108372354961536,0.108067609431776,0.138,0.071,1
"Zfp113",0.108449319045322,-0.114422004945578,0.083,0.032,1
"Parp10",0.108449319045322,-0.0318739753249538,0.083,0.032,1
"Usp53",0.108654230855862,-0.25498169274295,0.055,0.111,1
"Gmip",0.108654230855862,-0.147983827139419,0.055,0.111,1
"Rab5c",0.108754731156746,0.382741876128851,0.422,0.31,1
"Baz2a",0.108761301519316,-0.362877514783196,0.147,0.214,1
"Arhgap29",0.10876366888495,0.0723191647439289,0.33,0.222,1
"Creb3l2",0.108797943191752,0.0882699462632186,0.339,0.23,1
"Srp68",0.108801300313032,-0.366330544316449,0.128,0.198,1
"Khk",0.108926316389248,0.20355469927516,0.092,0.04,1
"Zfyve16",0.109106403621131,0.274621895740438,0.156,0.087,1
"Taf12",0.109179793415318,0.190943061552563,0.138,0.071,1
"Fam172a",0.109245056904965,-0.151178722868987,0.138,0.206,1
"Pcyt2",0.109364178904684,0.0323636070686814,0.128,0.063,1
"Fstl3",0.109560650907977,0.0517204584669576,0.266,0.159,1
"Arhgap35",0.109873105313964,0.0417364863101775,0.339,0.23,1
"Tmem120b",0.109932505333726,0.0163723648323192,0.092,0.04,1
"Tatdn2",0.109932505333726,-0.36635742711491,0.037,0.087,1
"Gng2",0.109932505333726,-0.165655975201912,0.037,0.087,1
"Chp1",0.109952732902786,-0.319671944354382,0.183,0.254,1
"Cdk2ap2",0.109991611516913,-0.391625579680401,0.294,0.357,1
"Sh3bgrl",0.110204118647473,-0.290912610655613,0.257,0.325,1
"Il1r1",0.110209987968002,0.0792896758452756,0.128,0.063,1
"Cisd1",0.110694336190402,0.149488650813661,0.339,0.222,1
"Hltf",0.110712015898852,-0.181037036297898,0.119,0.19,1
"Fbxl20",0.11071939365472,-0.0362007147714805,0.202,0.111,1
"S100a16",0.110836846652013,0.35706418584871,0.358,0.27,1
"1600002K03Rik",0.110946024832127,0.15185820325861,0.092,0.04,1
"Got1",0.110946024832127,-0.151492818557683,0.037,0.087,1
"Rufy1",0.11106095652286,0.0379183805162662,0.128,0.063,1
"Yipf6",0.111097402535529,0.0858190488846347,0.239,0.143,1
"Cept1",0.111143868327757,0.232377369280765,0.266,0.167,1
"Snrnp48",0.111157842756064,-0.356695282936656,0.11,0.175,1
"Sumf1",0.11139304962602,0.433515335191705,0.156,0.087,1
"Stap2",0.111435101952051,0.260235693084213,0.147,0.079,1
"Rab11fip2",0.111757048503386,0.0452007397052543,0.303,0.198,1
"Cdc42",0.111849149403468,-0.158257390677155,0.725,0.865,1
"Med17",0.111917103630753,0.112627247740977,0.128,0.063,1
"Ldlrap1",0.11196690723777,0.150195587773846,0.092,0.04,1
"Gm2415",0.11196690723777,0.130762691411432,0.092,0.04,1
"2810433D01Rik",0.11196690723777,0.0716764179141451,0.092,0.04,1
"Commd10",0.112031288587642,0.200909210819874,0.193,0.111,1
"Polr2e",0.112155976382684,-0.400340838843097,0.275,0.341,1
"Aprt",0.112371159815175,0.0108750871660823,0.239,0.143,1
"Pik3c2b",0.11264290870554,-0.223160067228654,0.028,0.071,1
"Ints7",0.11264290870554,-0.182344216166722,0.028,0.071,1
"Syne1",0.11264290870554,-0.305133161606925,0.028,0.071,1
"1700037C18Rik",0.11264290870554,-0.34322338642074,0.028,0.071,1
"Cog8",0.1126647097069,-0.276815692544399,0.101,0.167,1
"Gm17018",0.112679528847093,-0.125518224099095,0.165,0.087,1
"Ncoa7",0.11277844831857,0.13990661644017,0.128,0.063,1
"Dynlt1f",0.11277844831857,-0.00124210192670618,0.128,0.063,1
"Jtb",0.113116558244578,-0.526278467335037,0.239,0.294,1
"Lpgat1",0.113290451910978,-0.250819329521858,0.11,0.175,1
"Urm1",0.113658861439893,0.0274114269769152,0.174,0.095,1
"Tra2a",0.113732966604991,-0.409301750199325,0.44,0.484,1
"Lmbr1l",0.113790987885,-0.167517173910988,0.028,0.071,1
"Tbc1d1",0.114011603539838,-0.200489514273849,0.055,0.111,1
"Ro60",0.114137622996014,0.13852684469275,0.275,0.175,1
"Zfhx2",0.114389831067078,-0.291169202395039,0.046,0.095,1
"Eed",0.114478841927132,-0.153292940196321,0.073,0.135,1
"Gpn1",0.114516806362265,0.0943797944860317,0.128,0.063,1
"Gns",0.114802071472204,0.337776573571886,0.413,0.31,1
"Paics",0.114846270241627,-0.0157249446988876,0.339,0.214,1
"Slc2a12",0.115074054370108,-0.203312838138799,0.037,0.087,1
"Sec16a",0.115193641491825,0.150683071740351,0.202,0.119,1
"Srrm1",0.115258095241471,-0.426795812223959,0.321,0.373,1
"Idh1",0.115287985896658,0.166153865254352,0.156,0.087,1
"Spred1",0.115287985896658,0.273881966661455,0.156,0.087,1
"Cox6c",0.115296033246612,0.091934506547553,0.688,0.667,1
"Pld2",0.11539385758951,-0.218873875289029,0.064,0.119,1
"Med25",0.115455164810697,-0.419943735976179,0.11,0.175,1
"Map4k5",0.115462257458108,0.0787451060661528,0.147,0.079,1
"Fem1a",0.115842904039612,-0.179482170985398,0.055,0.111,1
"Ywhab",0.11589946925554,-0.474637787858213,0.431,0.492,1
"Nudcd3",0.11595067297739,0.280949507767783,0.33,0.214,1
"Stard13",0.116016080461,0.395163122063094,0.257,0.167,1
"Ilvbl",0.11608982272045,-0.34686647690411,0.128,0.19,1
"Gtf2e1",0.11611477443212,-0.237997383610782,0.028,0.071,1
"Nradd",0.116124710505306,0.093080838194838,0.092,0.04,1
"Myo1g",0.116124710505306,-0.0995214836090928,0.037,0.087,1
"Ccdc12",0.116438733988532,-0.236228115340517,0.376,0.468,1
"Ezh1",0.116719057209237,-0.455470448467594,0.147,0.206,1
"Yap1",0.116871825704705,0.337354138246649,0.165,0.095,1
"H2afj",0.116876046448506,0.219274980891518,0.569,0.468,1
"Ehd1",0.117113380028525,0.118380098166027,0.404,0.278,1
"Ralgapa2",0.11716379884385,-0.0330445593667321,0.128,0.063,1
"Mcts2",0.117182890217796,0.016737592834494,0.092,0.04,1
"Ugdh",0.117290569592689,-0.252319906181793,0.028,0.071,1
"Plet1",0.117290569592689,-0.262870665585703,0.028,0.071,1
"S100a4",0.117369057604859,0.659307798306048,0.101,0.048,1
"C2cd5",0.117369057604859,-0.251779673685949,0.046,0.095,1
"Micu1",0.117388436801829,0.26732528797065,0.321,0.222,1
"Tle3",0.117472298351563,-0.195339113950279,0.083,0.143,1
"Ephb3",0.117581680840651,0.172426810284663,0.239,0.143,1
"B4galt3",0.117665251866338,-0.218769974863939,0.119,0.19,1
"Slc2a1",0.118056726506381,-0.272839707597828,0.064,0.119,1
"Hmgcl",0.118125870324607,-0.0863056917313551,0.165,0.087,1
"Otud4",0.11815976705945,0.117440380848643,0.248,0.151,1
"Sdf2l1",0.118248625404541,0.00114349742749972,0.092,0.04,1
"Ccdc86",0.118248625404541,0.135380118083354,0.092,0.04,1
"Rbl1",0.118375557077885,-0.302126089449714,0.046,0.095,1
"Snip1",0.118375557077885,-0.338735038715926,0.046,0.095,1
"Atpaf1",0.118475691000368,-0.184623135921328,0.028,0.071,1
"Dync2li1",0.11848418489983,0.0864526286410479,0.193,0.111,1
"Trim35",0.118747614216925,0.0575189877123229,0.229,0.135,1
"Psmb10",0.11881163145535,0.322553685686222,0.349,0.254,1
"Bdp1",0.118920499369753,-0.369092285873646,0.092,0.151,1
"Snx15",0.118954983880194,0.000384923454566088,0.128,0.063,1
"Rabgap1l",0.119102280225667,-0.0746585372474788,0.569,0.635,1
"Lztr1",0.119218809643092,0.00615114709420056,0.193,0.111,1
"Mllt1",0.119244372548053,0.108959565260815,0.138,0.071,1
"Gdnf",0.119321472156319,0.0615954390636738,0.092,0.04,1
"Aifm2",0.119321947877513,0.0303230759710805,0.092,0.04,1
"Coro7",0.119321947877513,-0.0732578667033063,0.037,0.087,1
"Sfta3-ps",0.119327179080095,0.395447415913161,0.431,0.325,1
"Pkp2",0.119375446821468,0.116401881757054,0.358,0.246,1
"Coq8a",0.119388813091284,-0.253727433048629,0.046,0.095,1
"Atp11b",0.119654659474324,-0.475057400290519,0.165,0.23,1
"Foxo3",0.119956999018116,0.0252213148819902,0.193,0.111,1
"Hsp90b1",0.119963315187048,0.258598013219889,0.642,0.579,1
"Lox",0.120116059143288,0.2906299716215,0.064,0.024,1
"Ptp4a2",0.120155279507553,-0.284298345624075,0.514,0.563,1
"Kansl1",0.120332350052274,-0.307138657735488,0.183,0.254,1
"Nudt1",0.120402889361122,0.143523772448802,0.092,0.04,1
"1600020E01Rik",0.120408852277884,-0.226163581780143,0.046,0.095,1
"Ercc6l2",0.120408852277884,0.279743798209544,0.101,0.048,1
"Dek",0.120463417956152,-0.276740596915314,0.284,0.357,1
"Pigk",0.120698763161928,0.0317493436065786,0.193,0.111,1
"Tmem159",0.120698763161928,0.118862516331667,0.193,0.111,1
"Commd2",0.120700154566604,-0.584062745152396,0.202,0.27,1
"Srd5a3",0.120767562566525,-0.265676892380468,0.064,0.119,1
"Exd2",0.12087408674568,-0.116985670847967,0.028,0.071,1
"Cd99l2",0.120919879860594,0.256276658038025,0.156,0.087,1
"Tex261",0.1209649391557,0.258049444279405,0.312,0.206,1
"Tshz1",0.12096602844889,0.385525991562513,0.266,0.183,1
"Scp2",0.120998191287909,0.363950472567416,0.578,0.476,1
"Syncrip",0.121072513998241,-0.420046887372643,0.183,0.246,1
"Sgsm2",0.121435701198962,0.314076769692413,0.101,0.048,1
"Tspan5",0.121591418864901,-0.271032914728813,0.092,0.159,1
"2510039O18Rik",0.121677028905135,0.239425167201289,0.22,0.135,1
"Plpbp",0.121681921170102,-0.283865473792538,0.064,0.119,1
"Appbp2",0.121759314158386,-0.469814825735773,0.193,0.254,1
"Ltbp4",0.122087447837877,-0.251375565195098,0.028,0.071,1
"Acap2",0.122099916793585,-0.136542771091806,0.073,0.135,1
"Poldip2",0.122374383945919,-0.0908247784596707,0.183,0.103,1
"Eya3",0.122469386342294,0.129412163116874,0.101,0.048,1
"Pcnx4",0.122587755804486,-0.060221104497637,0.092,0.04,1
"Ston2",0.122587755804486,-0.0155447865790879,0.092,0.04,1
"Tgfbr2",0.122637743526917,-0.285257853013868,0.431,0.5,1
"Slc41a2",0.122920213338223,0.338281383878134,0.11,0.056,1
"Ppm1d",0.123310308677511,-0.105488963984452,0.028,0.071,1
"Zfp236",0.123310308677511,-0.106799531398217,0.028,0.071,1
"Cyb5b",0.123329328032613,0.367640199402294,0.266,0.175,1
"Eif2ak3",0.123400234081351,-0.123935741025742,0.055,0.111,1
"Tspan2",0.123439057904492,-0.542419020309155,0.468,0.492,1
"Fancc",0.123509934120207,0.213589574669587,0.101,0.048,1
"Rubcn",0.12360638951222,-0.203388475278162,0.156,0.222,1
"Cnot2",0.123700643074222,-0.440591148184357,0.101,0.159,1
"Arih1",0.123755669797025,0.284474152006755,0.257,0.167,1
"Snap29",0.123846177193217,-0.213493910067506,0.073,0.135,1
"Traf1",0.124027828938063,0.213353363702818,0.367,0.254,1
"Hsd17b7",0.124102185388475,0.103555645472319,0.064,0.024,1
"Frmd6",0.124382906518044,0.264419486028902,0.193,0.119,1
"Bcat2",0.124457496797053,0.0433727426116075,0.128,0.063,1
"Atp2a3",0.124542233998382,-0.405082205889707,0.073,0.127,1
"Nup107",0.124542712282285,-0.167518121172447,0.028,0.071,1
"Slco3a1",0.12467420857279,0.0472766517545806,0.55,0.397,1
"Slc30a5",0.124690726887833,-0.317854366407707,0.128,0.19,1
"Vegfb",0.124724373248539,0.12084992301733,0.147,0.079,1
"1810058I24Rik",0.124769271302652,0.37724566880226,0.321,0.23,1
"Gm37494",0.124803476679796,0.0353244937597523,0.092,0.04,1
"Anp32b",0.124853394617661,-0.31825984516617,0.33,0.397,1
"Mapre1",0.125091583755591,-0.289436249304204,0.229,0.302,1
"Btg3",0.125539157228304,-0.496888251517738,0.385,0.437,1
"Cd3e",0.125563650390582,0.193225698240502,0.037,0.008,1
"Angel1",0.125563650390582,0.149535158126815,0.037,0.008,1
"Tmub2",0.125594325759359,0.200906743247578,0.147,0.079,1
"Kti12",0.125611722840041,-0.284462191535209,0.046,0.095,1
"Hspbp1",0.125611722840041,-0.226866711379287,0.046,0.095,1
"Rpap3",0.125611722840041,0.261023389718427,0.101,0.048,1
"Ptprk",0.125765426554151,0.204438816288836,0.229,0.143,1
"Ints9",0.125916590327909,0.189792027115431,0.156,0.087,1
"Rph3al",0.125922985835827,-0.0577070673629046,0.092,0.04,1
"Ccng1",0.126171121423468,0.317218732787316,0.202,0.127,1
"Msl2",0.126261986865929,-0.220065336555658,0.092,0.151,1
"Madd",0.126278882947286,-0.403310095314592,0.183,0.246,1
"Cdc5l",0.126352967380771,-0.398563594382883,0.22,0.278,1
"Scaf8",0.126655704166247,-0.254596273092967,0.119,0.183,1
"Zfp655",0.126673016211669,-0.38085752715617,0.046,0.095,1
"Nop9",0.126673016211669,0.09879136791444,0.101,0.048,1
"Ift43",0.126687418776804,-0.357160550354811,0.202,0.262,1
"Pqlc1",0.126710976375675,0.156558298561422,0.239,0.151,1
"Dtna",0.126762777622462,-0.0346148594602866,0.193,0.111,1
"Mta2",0.126770299241109,-0.292853873080288,0.11,0.175,1
"Egln2",0.12678724175156,0.083169975529236,0.275,0.175,1
"Scarf2",0.126816437675787,0.134553209166801,0.064,0.024,1
"Psmd4",0.126826394816554,0.281493853604355,0.385,0.278,1
"Wdr20",0.126925919837488,-0.288733743058442,0.101,0.159,1
"Lyrm4",0.127036319094498,-0.171644251838343,0.028,0.071,1
