"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Saysd1",0.373581611562392,-0.0586488512805192,0.08,0.11,1
"Dido1",0.373734524802192,-0.15388069653042,0.09,0.119,1
"Pip5k1a",0.37378603240464,-0.00484521226222134,0.12,0.156,1
"Ift20",0.373812684769761,-0.18026731041807,0.29,0.33,1
"Eif2b5",0.373903019270215,0.0210661902787274,0.15,0.11,1
"Slx4ip",0.374075521277539,-0.0375484447028032,0.02,0.037,1
"Nes",0.374075521277539,-0.240949961944583,0.02,0.037,1
"Fbxo46",0.374075521277539,-0.0001205075800947,0.02,0.037,1
"Magix",0.374075521277539,-0.0284860892200542,0.02,0.037,1
"Faf1",0.374217702978009,-0.128475989055128,0.145,0.183,1
"Slc31a1",0.374230518304148,-0.150395956061569,0.105,0.138,1
"Stx8",0.374390692432346,-0.0831264191701793,0.33,0.385,1
"Pacs2",0.374871351714995,-0.0289704317099887,0.095,0.128,1
"Itfg2",0.374950073470471,-0.00273891298966977,0.065,0.092,1
"Zfand1",0.375484739661605,0.0855959964932189,0.07,0.101,1
"Spint1",0.375521274971207,-0.0111312828758948,0.26,0.321,1
"Rap1a",0.375700387921494,0.190763149172511,0.405,0.376,1
"Slc35a3",0.375707806869652,0.149889074910055,0.085,0.119,1
"Ppp2r2d",0.375858506918365,0.246104775038332,0.16,0.128,1
"Smarca2",0.376062673192275,-0.413139912443471,0.175,0.211,1
"Pex14",0.376081883918756,0.0118452268692235,0.1,0.138,1
"Cdc14a",0.376161715481257,-0.143714121188414,0.035,0.055,1
"Hscb",0.376210626035677,0.0106285659553381,0.095,0.128,1
"Tent2",0.376239769331755,-0.0760486351318,0.13,0.165,1
"Rlf",0.376528284014928,-0.0748955124330541,0.065,0.092,1
"Atp10a",0.376684734093256,-0.0439223668507055,0.02,0.037,1
"Arrdc2",0.376684734093256,0.00379471214265158,0.02,0.037,1
"Wnt7b",0.376684734093256,-0.0174756909992899,0.02,0.037,1
"2510009E07Rik",0.376684734093256,-0.119151798178911,0.02,0.037,1
"Cdk5rap1",0.377119146856236,0.0719447508777368,0.06,0.037,1
"Clasp2",0.377119146856236,0.10143904767101,0.06,0.037,1
