"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dyrk1b",0.512209013206077,-0.0398021393945185,0.018,0.032,1
"Il18bp",0.512209013206077,0.0446365684371278,0.018,0.032,1
"Gas8",0.512209013206077,0.0419132068674135,0.018,0.032,1
"Nrgn",0.512209013206077,0.0233026890569247,0.018,0.032,1
"Hexdc",0.512209013206077,-0.0459455090911442,0.018,0.032,1
"Dlg5",0.512209013206077,-0.00800502070486778,0.018,0.032,1
"Bora",0.512209013206077,-0.063833628962609,0.018,0.032,1
"Plcxd2",0.512209013206077,-0.0647218088230286,0.018,0.032,1
"Zbtb9",0.512209013206077,0.00388113425639942,0.018,0.032,1
"Nasp",0.512309891023691,-0.136098871235043,0.109,0.135,1
"Itsn2",0.512401505688651,-0.168886102586691,0.364,0.373,1
"Spg21",0.512435217515566,0.0537529321082255,0.227,0.183,1
"Slc27a1",0.512443223651988,-0.0466830880125633,0.045,0.063,1
"Zc3hav1",0.512631962064124,0.0742541747202305,0.309,0.262,1
"Ncoa7",0.513047123358638,-0.0613931680607205,0.091,0.063,1
"Ulk2",0.513210329867731,-0.384267951080431,0.182,0.198,1
"Zfp740",0.513212317426691,-0.115608447880152,0.191,0.222,1
"Nsmaf",0.513858845468783,-0.175649003869348,0.118,0.143,1
"Zfp36",0.513971746391384,-0.476311445194651,0.409,0.389,1
"Smc4",0.513985360413366,0.237305998151972,0.345,0.31,1
"H2-DMa",0.514180414621117,-0.0753440438093731,0.264,0.302,1
"Polr2a",0.514423170652746,-0.194832890007196,0.264,0.286,1
"Cdc14b",0.51447348276409,0.0291018497515226,0.1,0.127,1
"Ccdc124",0.514950935054173,0.109728198201225,0.227,0.19,1
"Phlda1",0.51495112595114,0.136948576869943,0.227,0.19,1
"St5",0.515085638851058,-0.023496171495067,0.073,0.095,1
"Ctnnd1",0.515152852594488,0.210410081011888,0.382,0.333,1
"Gprin3",0.515203430677489,-0.220028227947166,0.173,0.135,1
"Arntl",0.515398893785976,-0.261249024672153,0.091,0.111,1
"Sesn2",0.515560540899099,-0.185970982860084,0.045,0.063,1
"Psph",0.515560540899099,-0.168245424103844,0.045,0.063,1
"Natd1",0.515560540899099,-0.106319985288732,0.045,0.063,1
"Akap1",0.515560540899099,-0.0726907468928639,0.045,0.063,1
"Fbxw17",0.515765966217452,-0.0706610392878331,0.109,0.079,1
"Abca7",0.515904862211967,0.0672575991057634,0.182,0.143,1
"Sos2",0.515904862211967,0.0490189108187891,0.182,0.143,1
"Canx",0.516272276596034,0.067001479054307,0.518,0.468,1
"Numb",0.516479330546537,-0.110380409339131,0.127,0.095,1
"Psmc1",0.516674409665785,0.194683802933725,0.345,0.302,1
"Cops7b",0.516731263806758,-0.065931075281052,0.018,0.032,1
"Fam210b",0.516731263806758,-0.0353030234802415,0.018,0.032,1
"Gm19990",0.516731263806758,-0.082591683594968,0.018,0.032,1
"Sidt1",0.516731263806758,-0.0183863686994882,0.018,0.032,1
"Dap3",0.516832455125999,0.203511766259398,0.155,0.127,1
"Slc44a3",0.516883839286048,-0.0659772515625628,0.182,0.214,1
"Ipo8",0.51689803067865,0.129794358791678,0.082,0.111,1
"Comtd1",0.516990688672233,-0.172824428811905,0.082,0.103,1
"Bfar",0.517177906693109,-0.15387892183916,0.173,0.135,1
"Atxn7",0.517309965964408,-0.239900388693954,0.218,0.23,1
"Cdkl5",0.517403650911658,-0.0925856029422094,0.318,0.349,1
"Atp6v1a",0.517444192548986,-0.101374387808345,0.282,0.222,1
"Lamtor5",0.517643797527224,0.012735001683077,0.3,0.246,1
"Arl3",0.517671006375975,0.153790895946694,0.2,0.238,1
"Pef1",0.517687716189636,0.0189989028149329,0.291,0.246,1
"Slc25a11",0.518090335905793,-0.0379419976068976,0.191,0.151,1
"Mfsd8",0.51811977853634,0.0575291660002156,0.036,0.056,1
"Rac1",0.518174930744416,-0.0671428691157869,0.509,0.548,1
"Vti1b",0.518279039376082,0.184054560152993,0.327,0.286,1
"Zfp706",0.518578059643718,-0.122987581381747,0.491,0.516,1
"Cd40",0.518687672002545,-0.129411503839667,0.045,0.063,1
"Dcaf13",0.519444644772182,-0.163168308711184,0.082,0.103,1
"Ece1",0.51945530453357,-0.230111991887504,0.373,0.381,1
"Taldo1",0.519568069448542,0.0579893234577835,0.473,0.429,1
"Hacd3",0.52005984900685,-0.194590254768515,0.136,0.103,1
"Icosl",0.520207752539534,-0.0698807023939187,0.073,0.095,1
"Srrm1",0.520265282020274,-0.272966184266492,0.355,0.373,1
"Fcrl1",0.520685647082698,-0.0471638300511457,0.091,0.119,1
"Chuk",0.520776686995334,0.1396532363415,0.191,0.167,1
"Celf1",0.52090134571985,0.0210189018922997,0.327,0.278,1
"Trmt1l",0.520940660776198,-0.173253149152261,0.127,0.151,1
"Acsl4",0.521189411994758,0.164435848691644,0.127,0.103,1
"Keap1",0.521222511879525,-0.178480793050904,0.173,0.198,1
"Tek",0.521274114733081,0.0240231179951397,0.018,0.032,1
"Hpn",0.521274114733081,-0.0115597700373331,0.018,0.032,1
"Casp4",0.521274114733081,-0.028866282118385,0.018,0.032,1
"Usp28",0.521274114733081,-0.0178120177642502,0.018,0.032,1
"Snhg5",0.521274114733081,-0.0220095683087906,0.018,0.032,1
"Snhg15",0.521274114733081,-0.00918805042236129,0.018,0.032,1
"Gm49085",0.521274114733081,0.0288131577641094,0.018,0.032,1
"Pdzrn3",0.521299096684102,-0.0803106049553845,0.118,0.087,1
"Actg1",0.521316736352611,-0.13551168671029,0.945,0.937,1
"Ralbp1",0.521353495519607,0.0585740732160138,0.555,0.476,1
"Trabd",0.52171120366413,0.00205876087193241,0.182,0.143,1
"Mad2l2",0.521824574548629,-0.0385983368713614,0.045,0.063,1
"Atpaf2",0.521824574548629,-0.10421682772692,0.045,0.063,1
"Gng12",0.521884570392613,-0.111458383317795,0.191,0.151,1
"Osbp",0.522215196077932,-0.311721818453835,0.191,0.206,1
"Cxcl15",0.522233856243802,0.637395526665113,0.209,0.175,1
"Arhgap35",0.522335872342244,-0.00542040451195502,0.273,0.23,1
"Wdr83os",0.522466118033984,0.0584847018492626,0.291,0.246,1
"Mfsd10",0.522778620987713,-0.102364579922385,0.073,0.095,1
"Nup210",0.522778620987713,-0.0710020092947507,0.073,0.095,1
"Usp40",0.522790570479401,-0.0450000386178127,0.145,0.111,1
"Fndc3b",0.52305152667207,-0.347824425983021,0.173,0.198,1
"Riok3",0.523222165241638,0.395311109209602,0.327,0.294,1
"Nedd8",0.523346207008939,0.132742149890043,0.564,0.524,1
