"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmem164",0.0457299964409936,-0.0569915206430372,0.02,0.064,1
"Ccdc97",0.0457417966683329,-0.182190500450554,0.05,0.109,1
"Paqr6",0.0458054070230432,0.0750567996324476,0.055,0.009,1
"Ube2n",0.0458176852496333,-0.265052375690706,0.275,0.382,1
"Slc26a11",0.0458637175376721,-0.0826246403786731,0.015,0.055,1
"5031439G07Rik",0.0458652319350933,-0.311759533826223,0.045,0.1,1
"Zeb2",0.0459047913310805,-0.318699227978911,0.07,0.136,1
"Tnpo2",0.0459047913310805,-0.34880044816338,0.07,0.136,1
"Idh3g",0.0460658590923242,-0.235526753808478,0.2,0.291,1
"Hspa4l",0.0461190735715034,-0.354215410124852,0.16,0.245,1
"G0s2",0.0461334275855515,-0.192700467770648,0.01,0.045,1
"Zfp326",0.046187048951193,-0.286996199817402,0.09,0.164,1
"Tspyl1",0.0462200373515813,-0.197823175520388,0.155,0.245,1
"Agbl3",0.0462374258210948,0.103100227127305,0.055,0.009,1
"Gm30025",0.0462374258210948,0.169387740857251,0.055,0.009,1
"Tmem171",0.0462374258210948,0.134922631253881,0.055,0.009,1
"Crim1",0.0462374258210948,0.137955062712638,0.055,0.009,1
"Jpt1",0.0462942108356223,-0.0620329511977105,0.255,0.391,1
"Odr4",0.0463000303512402,-0.351315976311198,0.155,0.236,1
"Hspa1a",0.0463142524337582,-0.210825044043328,0.025,0.073,1
"Pip4k2a",0.0463609596918004,-0.168538889045436,0.015,0.055,1
"Nudt6",0.0463609596918004,-0.0934978354976774,0.015,0.055,1
"Cdk2",0.0463609596918004,-0.102209229147674,0.015,0.055,1
"Rabl2",0.0463609596918004,-0.147826306818528,0.015,0.055,1
"Pank1",0.0463609596918004,-0.111548319471177,0.015,0.055,1
"Pebp1",0.0464241638466473,-0.260098812601326,0.425,0.555,1
"Rbm15",0.0465456316806265,-0.269240035063569,0.045,0.1,1
"Phf12",0.0465456316806265,-0.186278865744666,0.045,0.1,1
"Ppp1r12b",0.0466296357661457,-0.635872603605172,0.165,0.245,1
"Txnrd3",0.046698528760719,-0.0847841117215603,0.01,0.045,1
"Hgh1",0.046698528760719,-0.0122791423641462,0.01,0.045,1
"Ggta1",0.0467338216639303,-0.0926787612194828,0.025,0.073,1
"Eif3m",0.0467484211236593,-0.313584893627698,0.285,0.4,1
"Hmox1",0.0468890051381936,0.306797340508613,0.085,0.027,1
"Elmo2",0.0469397349927865,-0.11995546127817,0.11,0.191,1
"Fuca2",0.0469769911685221,0.487209101810482,0.335,0.255,1
"Raf1",0.0469880883906373,-0.2570854993424,0.12,0.2,1
"Gcc1",0.0470690476861481,-0.0546419057278466,0.03,0.082,1
"Tbc1d2",0.0470807235872339,0.168917514602618,0.125,0.055,1
"Gatc",0.0470910195851406,-0.294457902031181,0.02,0.064,1
"Pcolce2",0.0470910195851406,-0.506116156916837,0.02,0.064,1
"Nr2c1",0.0471117610568348,0.145636151205333,0.055,0.009,1
"Phlpp2",0.0471997493096658,0.190972304564281,0.07,0.018,1
"Pik3r6",0.0472694440093169,-0.0233274869111497,0.01,0.045,1
"Rybp",0.0473281228717743,-0.0784847535628114,0.055,0.118,1
"Ncoa6",0.0473641541309844,-0.186414318556244,0.075,0.145,1
"2310014F06Rik",0.0473690673185161,-0.0355381093817627,0.015,0.055,1
"Nup160",0.0475521995512921,-0.0213228415863244,0.02,0.064,1
"Acrbp",0.0475521995512921,-0.0592005866706244,0.02,0.064,1
"Pitrm1",0.0475521995512921,-0.0467293600008915,0.02,0.064,1
"Mxra8",0.0475531451026802,0.0335200883756025,0.195,0.1,1
"Ccrl2",0.0475821483021792,0.226094009712878,0.085,0.027,1
"Ccdc191",0.0475825602942473,-0.24744859378858,0.025,0.073,1
